Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51704136,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0143135163""","=""9780143135166""",0,4.08,Penguin Books,Paperback,368,2020,2017,,2023/11/11,to-read,to-read (#201),to-read,,,,0,0
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",0,4.01,Broadway Paperbacks,Paperback,254,2007,2006,,2023/11/11,to-read,to-read (#200),to-read,,,,0,0
56618275,"Sykt flink: Hvis du alltid kan bli bedre, blir du aldri god nok",Lars Halse Kneppe,"Kneppe, Lars Halse",,"=""8202687756""","=""9788202687755""",0,3.63,Cappelen Damm,Hardcover,128,2021,2021,,2023/11/08,to-read,to-read (#199),to-read,,,,0,0
5204,We Were the Mulvaneys,Joyce Carol Oates,"Oates, Joyce Carol",,"=""0452282829""","=""9780452282827""",0,3.74,Plume,Paperback,454,1997,1996,,2023/11/08,to-read,to-read (#198),to-read,,,,0,0
17312023,Greven av Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",,"=""""","=""9788203252266""",0,4.29,Aschehoug,ebook,472,2010,1844,,2023/11/08,to-read,to-read (#197),to-read,,,,0,0
11733840,"Flickan med snö i håret (Hagfors, #1)",Ninni Schulman,"Schulman, Ninni",,"=""9170018634""","=""9789170018633""",0,3.57,Månpocket,Mass Market Paperback,352,2011,2010,,2023/11/08,to-read,to-read (#196),to-read,,,,0,0
40604684,"The History of Bees (Klimakvartetten, #1)",Maja Lunde,"Lunde, Maja",Diane Oatley,"=""""","=""""",0,3.81,Touchstone,Kindle Edition,353,2017,2015,,2023/11/08,to-read,to-read (#195),to-read,,,,0,0
16527,Daughter of Fortune,Isabel Allende,"Allende, Isabel",,"=""0061120251""","=""9780061120251""",0,3.93,Harper Perennial,Paperback,432,2006,1998,,2023/11/08,to-read,to-read (#194),to-read,,,,0,0
24790,Paula,Isabel Allende,"Allende, Isabel",,"=""849759388X""","=""9788497593885""",0,4.18,DEBOLSILLO,Paperback,432,2003,1994,,2023/11/08,to-read,to-read (#193),to-read,,,,0,0
13131625,Sweet Damage,Rebecca  James,"James, Rebecca",,"=""1742373011""","=""9781742373010""",0,3.84,Allen and Unwin,Paperback,336,2013,2013,,2023/11/06,to-read,to-read (#192),to-read,,,,0,0
23604559,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1501115065""","=""9781501115066""",4,4.08,Atria Books,Hardcover,372,2015,2013,,2023/04/24,,,read,,,,1,0
116536542,"Things We Left Behind (Knockemout, #3)",Lucy Score,"Score, Lucy",,"=""""","=""9798886439298""",5,4.47,That's What She Said Publishing,Kindle Edition,592,2023,2023,,2023/10/29,,,read,,,,1,0
193388249,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,"=""0593470834""","=""9780593470831""",0,4.15,Vintage,Paperback,416,2023,2017,,2023/10/27,to-read,to-read (#191),to-read,,,,0,0
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo",,"=""0399184414""","=""9780399184413""",0,3.98,Riverhead Books,Hardcover,81,2016,2014,,2023/10/27,to-read,to-read (#190),to-read,,,,0,0
32085,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,"Herriot, James",,"=""0312965788""","=""9780312965785""",0,4.34,St. Martin's Paperbacks,Mass Market Paperback,437,1998,1972,,2023/10/27,to-read,to-read (#189),to-read,,,,0,0
27293395,The Sting of the Wild,Justin O. Schmidt,"Schmidt, Justin O.",,"=""1421419289""","=""9781421419282""",0,4.08,Johns Hopkins University Press,Hardcover,257,2016,2016,,2023/10/27,to-read,to-read (#188),to-read,,,,0,0
52459864,"Iron Widow (Iron Widow, #1)",Xiran Jay Zhao,"Zhao, Xiran Jay",,"=""0735269939""","=""9780735269934""",0,4.09,Penguin Teen,Hardcover,391,2021,2021,,2023/10/27,to-read,to-read (#187),to-read,,,,0,0
53427947,"The Murderbot Diaries #1-4: : All Systems Red, Artificial Condition, Rogue Protocol, Exit Strategy",Martha Wells,"Wells, Martha",,"=""1250784271""","=""9781250784278""",0,4.30,Tor,Hardcover,,2020,2019,,2023/10/27,to-read,to-read (#186),to-read,,,,0,0
6437061,"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""0316043915""","=""9780316043915""",0,3.89,Hachette Book Group Orbit,Paperback,427,2010,2010,,2023/10/27,to-read,to-read (#185),to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",0,4.17,Berkley Books,Paperback,383,2021,2021,,2023/10/23,to-read,to-read (#184),to-read,,,,0,0
56852407,Billy Summers,Stephen King,"King, Stephen",,"=""1982173610""","=""9781982173616""",0,4.21,Scribner,Hardcover,515,2021,2021,,2023/10/23,to-read,to-read (#183),to-read,,,,0,0
53024322,"Wild at Heart (Wild, #2)",K.A. Tucker,"Tucker, K.A.",,"=""""","=""9781999015411""",0,4.17,K. A. Tucker,ebook,472,2020,2020,,2023/10/23,to-read,to-read (#182),to-read,,,,0,0
36373564,"The Simple Wild (Wild, #1)",K.A. Tucker,"Tucker, K.A.",,"=""1501133438""","=""9781501133435""",5,4.32,Atria Books,Paperback,400,2018,2018,,2023/10/23,,,read,,,,1,0
60060431,"Things We Never Got Over (Knockemout, #1)",Lucy Score,"Score, Lucy",,"=""1945631848""","=""9781945631849""",5,4.19,That's What She Said Publishing,Kindle Edition,572,2022,2022,,2023/10/12,,,read,,,,2,0
36217425,"Th1rt3en (Eddie Flynn, #4)",Steve Cavanagh,"Cavanagh, Steve",,"=""1409170667""","=""9781409170662""",0,4.22,Orion,Paperback,356,2018,2018,,2023/10/22,to-read,to-read (#181),to-read,,,,0,0
127593128,The Last Language,Jennifer duBois,"duBois, Jennifer",,"=""1639551093""","=""9781639551095""",0,4.33,Milkweed Editions,Kindle Edition,240,2023,2023,,2023/10/21,to-read,to-read (#180),to-read,,,,0,0
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",5,4.11,Hollywood Upstairs Press ,Kindle Edition,388,2022,2022,,2023/07/01,,,read,,,,1,0
